macrocode,season,week,P25,P50,P75,P90,P95
1101,2022-2023,1,1,5,14,29,48
1101,2022-2023,2,2,5,13,31,52.049999999999955
1101,2022-2023,3,1.75,5,14,33,58
1101,2022-2023,4,2,6,16,37,65.04999999999995
1101,2022-2023,5,2,7,17,41.100000000000136,77
1101,2022-2023,6,3,8,21,47,80.04999999999995
1101,2022-2023,7,3,9,25,60,110.04999999999995
1101,2022-2023,8,4,11,31,67,115
1101,2022-2023,9,4,14,33,85.10000000000014,155.04999999999995
1101,2022-2023,10,5,15,41,93.10000000000014,156.0999999999999
1101,2022-2023,11,7,19,51,115,182.04999999999995
1101,2022-2023,12,8,23,57,141,231
1101,2022-2023,13,9,24,66,154.10000000000014,268.04999999999995
1101,2022-2023,14,10,29.5,72,161,295.04999999999995
1101,2022-2023,15,12,32,84,198.10000000000014,376.0999999999999
1101,2022-2023,16,12,33,90,203,354.0999999999999
1101,2022-2023,17,12,37,97,223.10000000000014,377
1101,2022-2023,18,14,38,98.25,222,417.0999999999999
1101,2022-2023,19,14,39,101,219.10000000000014,396.3499999999997
1101,2022-2023,20,13,38,99,229,382.59999999999945
1101,2022-2023,21,12,37,99,217,330.04999999999995
1101,2022-2023,22,12,35,93,214.10000000000014,366.1999999999998
1101,2022-2023,23,12,32,90,207.10000000000014,343
1101,2022-2023,24,10.75,31,79.25,183,321
1101,2022-2023,25,10,28,67,174.10000000000014,268.0999999999999
1101,2022-2023,26,9,27,68,159,272.14999999999986
1101,2022-2023,27,8,25,63,146,248.14999999999986
1101,2022-2023,28,8,22,55,124,226.0999999999999
1101,2022-2023,29,7,21,56,120,205.0999999999999
1101,2022-2023,30,7,20,51,115.10000000000014,202.04999999999995
1101,2022-2023,31,6,18,46,109,183.04999999999995
1101,2022-2023,32,5,16,44,98.20000000000027,184
1101,2022-2023,33,5,16,44,95.10000000000014,159.04999999999995
1101,2022-2023,34,5,15,37,93.10000000000014,149.04999999999995
1101,2022-2023,35,4,14,35,85,144.04999999999995
1101,2022-2023,36,4,13,33,73,129
1101,2022-2023,37,4,12,31,73.10000000000014,131
1101,2022-2023,38,4,11,29.25,68,106
1101,2022-2023,39,3,10,26.25,62,109.04999999999995
1101,2022-2023,40,3,10,24.25,56.100000000000136,90
1101,2022-2023,41,3,9,24,53.100000000000136,89.04999999999995
1101,2022-2023,42,3,8,21,50,86.04999999999995
1101,2022-2023,43,2,7,20,45,73
1101,2022-2023,44,2,6,18,40,69.04999999999995
1101,2022-2023,45,2,6,16,38.100000000000136,69
1101,2022-2023,46,2,5,14,33,50
1101,2022-2023,47,1,5,13,31.100000000000136,54
1101,2022-2023,48,1,4,12,28,47.049999999999955
1101,2022-2023,49,1,4,12,28,50
1101,2022-2023,50,1,4,11,25,42.049999999999955
1101,2022-2023,51,1,4,11,26,43
1101,2022-2023,52,1,4,11,26.100000000000136,45
1102,2022-2023,1,2,6,13,26,43
1102,2022-2023,2,3,7,14,30,48
1102,2022-2023,3,3,8,17,35,51.049999999999955
1102,2022-2023,4,4,9,21,43.100000000000136,73.04999999999995
1102,2022-2023,5,5,12,27,53.100000000000136,91.04999999999995
1102,2022-2023,6,6,14,32,70,106
1102,2022-2023,7,8,18,40,86.10000000000014,132.04999999999995
1102,2022-2023,8,9,22,46,95,147
1102,2022-2023,9,11,24,52,107.10000000000014,161
1102,2022-2023,10,12,26,61,119,191
1102,2022-2023,11,13,29,66,141.10000000000014,229.5499999999995
1102,2022-2023,12,14,33,74,147,238.04999999999995
1102,2022-2023,13,15,35,76,156,267.0999999999999
1102,2022-2023,14,18,40,88,189.10000000000014,314.1999999999998
1102,2022-2023,15,20,43,92.25,200.10000000000014,338.0999999999999
1102,2022-2023,16,21,48,99,205,342.04999999999995
1102,2022-2023,17,22,51,110,234,343.3499999999997
1102,2022-2023,18,24,53,112,241,389.0999999999999
1102,2022-2023,19,24.75,53,113.25,243,400.2499999999998
1102,2022-2023,20,24,51,113,233.10000000000014,341.14999999999986
1102,2022-2023,21,23,51,108.25,229,365
1102,2022-2023,22,23,49,106,217.10000000000014,350
1102,2022-2023,23,20,44,94,194.10000000000014,317.0999999999999
1102,2022-2023,24,18,42,90,191.10000000000014,327.0999999999999
1102,2022-2023,25,17,38,82,181,278.0999999999999
1102,2022-2023,26,17,36,77,169,292.04999999999995
1102,2022-2023,27,15,34,76,160.10000000000014,265.04999999999995
1102,2022-2023,28,14,32,71,143.10000000000014,218.04999999999995
1102,2022-2023,29,13,29,64.25,123,207
1102,2022-2023,30,12,26,60,125,211.04999999999995
1102,2022-2023,31,12,25,51,110,184
1102,2022-2023,32,10,22.5,48,99,166
1102,2022-2023,33,9,21,44,91,146.04999999999995
1102,2022-2023,34,9,19,41,85.10000000000014,137.0999999999999
1102,2022-2023,35,8,17,40,82,140.04999999999995
1102,2022-2023,36,7,16,37,79,122.04999999999995
1102,2022-2023,37,7,16,33,67.10000000000014,116.04999999999995
1102,2022-2023,38,6,15,33,72,108
1102,2022-2023,39,6,13,30,61,101
1102,2022-2023,40,5,12,29,61,95.09999999999991
1102,2022-2023,41,5,12,25,52,82.04999999999995
1102,2022-2023,42,4,10,22,45,76
1102,2022-2023,43,4,9,18.25,39.100000000000136,61.049999999999955
1102,2022-2023,44,3,7,16,36,60.049999999999955
1102,2022-2023,45,3,7,15,31,51
1102,2022-2023,46,3,6,14,29,43
1102,2022-2023,47,2,5.5,13,24,40
1102,2022-2023,48,2,5,12,23.100000000000136,37
1102,2022-2023,49,2,5,11,23,39
1102,2022-2023,50,2,5,11,23,38
1102,2022-2023,51,2,5,12,25,37.049999999999955
1102,2022-2023,52,2,5,12,24,39
1201,2022-2023,1,22,47,94,170,242.0999999999999
1201,2022-2023,2,25,52,111,203.10000000000014,305.04999999999995
1201,2022-2023,3,31,64.5,136,259,381
1201,2022-2023,4,35,75,146,283,432.04999999999995
1201,2022-2023,5,42,88,179,343,502.04999999999995
1201,2022-2023,6,49,96,198.25,383,562.2499999999998
1201,2022-2023,7,54,110.5,227,424.10000000000014,638.2499999999998
1201,2022-2023,8,58.75,121,249.5,461.10000000000014,714.05
1201,2022-2023,9,63,131,260,512.1000000000001,766.1999999999998
1201,2022-2023,10,70.75,143.5,297.25,545.1000000000001,783.05
1201,2022-2023,11,70,149,308,557.0000000000014,850.0999999999999
1201,2022-2023,12,79,171,315.25,598.1000000000001,854.3499999999997
1201,2022-2023,13,84,179.5,361.25,652.1000000000001,1012
1201,2022-2023,14,89,189.5,382,697,1133.1999999999998
1201,2022-2023,15,108,209,415,748,1123.1
1201,2022-2023,16,103.75,221,443.25,839.3000000000004,1180.2499999999998
1201,2022-2023,17,103,212,445.25,822.1000000000001,1243.4499999999996
1201,2022-2023,18,99,215,431.25,780.5000000000007,1236.05
1201,2022-2023,19,99,199,397.25,723.2000000000003,1153.05
1201,2022-2023,20,85,174,367,698,1054.4499999999996
1201,2022-2023,21,80,158,316.25,629.1000000000001,938
1201,2022-2023,22,71.75,141,275.25,513,741.05
1201,2022-2023,23,55.75,114.5,231.25,432,665.05
1201,2022-2023,24,50,104,202,382.3000000000004,554.1999999999998
1201,2022-2023,25,44,89,178,343.10000000000014,508.04999999999995
1201,2022-2023,26,37,77.5,161,299,442.4499999999996
1201,2022-2023,27,35,72,150.25,290.2000000000003,436.04999999999995
1201,2022-2023,28,32,65,129,245,386.04999999999995
1201,2022-2023,29,28,61,119,226.10000000000014,347.1999999999998
1201,2022-2023,30,26,55,112.25,222,311.14999999999986
1201,2022-2023,31,25,51,102,185.10000000000014,280.14999999999986
1201,2022-2023,32,23,46,96,178,257.04999999999995
1201,2022-2023,33,20,44,86.25,164.10000000000014,241
1201,2022-2023,34,18,39,81,145.10000000000014,212
1201,2022-2023,35,16,33,71,132,188.04999999999995
1201,2022-2023,36,15,30,63,120.10000000000014,169.04999999999995
1201,2022-2023,37,14,27,56.25,103.10000000000014,148
1201,2022-2023,38,13,27,51,99,145.04999999999995
1201,2022-2023,39,12,25,51,95.10000000000014,144.0999999999999
1201,2022-2023,40,11,23,45,85.20000000000027,136
1201,2022-2023,41,11,23,46,86,131.0999999999999
1201,2022-2023,42,10,21,44,85.10000000000014,132
1201,2022-2023,43,10,21,42,82,127
1201,2022-2023,44,10,21,43,78,112.04999999999995
1201,2022-2023,45,10,21,42,78,118.04999999999995
1201,2022-2023,46,9,20.5,40.25,73.10000000000014,112
1201,2022-2023,47,10,21,44,83.10000000000014,117
1201,2022-2023,48,11,24,46,86.10000000000014,131
1201,2022-2023,49,12,26,52,95.10000000000014,143
1201,2022-2023,50,14,29,59,108,160.04999999999995
1201,2022-2023,51,17,34,70,131.20000000000027,197
1201,2022-2023,52,18,39,80,148,218.29999999999973
1302,2022-2023,1,4,12,28,61,99.09999999999991
1302,2022-2023,2,4,11,27,59,98.04999999999995
1302,2022-2023,3,4,10,24,52.100000000000136,88.04999999999995
1302,2022-2023,4,3,10,24,51,79.09999999999991
1302,2022-2023,5,3,10,25,58,94.04999999999995
1302,2022-2023,6,4,11,27,58,87
1302,2022-2023,7,4,11,28,58,90
1302,2022-2023,8,4,13,28,62,104
1302,2022-2023,9,4,13,30,66,111.04999999999995
1302,2022-2023,10,5,14,32,72,121.04999999999995
1302,2022-2023,11,5,14,35,73,120.04999999999995
1302,2022-2023,12,6,15,36,83,127.09999999999991
1302,2022-2023,13,6,15,37,87,138.0999999999999
1302,2022-2023,14,6,17,42,98.10000000000014,152.04999999999995
1302,2022-2023,15,7,18,44,102,152.14999999999986
1302,2022-2023,16,7,20,49,111.10000000000014,192
1302,2022-2023,17,8,20,51,104,167
1302,2022-2023,18,8,22,53,110,186
1302,2022-2023,19,8,23,57,122.20000000000027,201.04999999999995
1302,2022-2023,20,8,23,55,125,211
1302,2022-2023,21,9,23,60,117.10000000000014,178
1302,2022-2023,22,8,23,56,121,191.04999999999995
1302,2022-2023,23,7,21,50,108.10000000000014,172.14999999999986
1302,2022-2023,24,7,18,43,95.10000000000014,161.14999999999986
1302,2022-2023,25,6,17,41,87.10000000000014,156.0999999999999
1302,2022-2023,26,6,16,37,77,142.04999999999995
1302,2022-2023,27,5,14,36,78,138
1302,2022-2023,28,5,13,32.25,73,115.09999999999991
1302,2022-2023,29,4,11,27,60,98
1302,2022-2023,30,4,10,26,59,87
1302,2022-2023,31,4,10,26,57,92.09999999999991
1302,2022-2023,32,3,9,23,54,84
1302,2022-2023,33,3,9,21,48,80
1302,2022-2023,34,3,8,20.25,41,69
1302,2022-2023,35,3,8,20,43.100000000000136,73.04999999999995
1302,2022-2023,36,2,7,18,35,54
1302,2022-2023,37,2,7,17,36,60
1302,2022-2023,38,2,6,17,38,64.04999999999995
1302,2022-2023,39,2,6,17,35,56
1302,2022-2023,40,2,6,16,32,55.049999999999955
1302,2022-2023,41,2,6,16,34.100000000000136,55.049999999999955
1302,2022-2023,42,2,6,16,33,54
1302,2022-2023,43,2,7,17,36,57.049999999999955
1302,2022-2023,44,2,7,16,35,61
1302,2022-2023,45,3,7,18,43,69
1302,2022-2023,46,3,8,19,44,72
1302,2022-2023,47,3,8,21,48,77.04999999999995
1302,2022-2023,48,3,10,26,55,90
1302,2022-2023,49,4,10,25,56,87.04999999999995
1302,2022-2023,50,4,12,30,67,111
1302,2022-2023,51,5,13,32,64,103.09999999999991
1302,2022-2023,52,4,12,30,66.10000000000014,113.04999999999995
1303,2022-2023,1,1,2,4,7,11
1303,2022-2023,2,1,2,4,8,11
1303,2022-2023,3,1,2,5,8,11
1303,2022-2023,4,1,2,5,8,11
1303,2022-2023,5,1,3,5,9,12.049999999999955
1303,2022-2023,6,1,3,6,10,13
1303,2022-2023,7,1,3,6,11,15
1303,2022-2023,8,2,4,7,12,17
1303,2022-2023,9,2,4,7,13,18
1303,2022-2023,10,2,4,9,15,21
1303,2022-2023,11,2,5,10,17,24
1303,2022-2023,12,3,6,12,21,28
1303,2022-2023,13,4,8,14,23,34
1303,2022-2023,14,5,10,18,31,42.049999999999955
1303,2022-2023,15,6,11,21,37.100000000000136,53
1303,2022-2023,16,7,14,25,43,59
1303,2022-2023,17,7,15,28,48.100000000000136,67
1303,2022-2023,18,8,16,30,52,72
1303,2022-2023,19,8,16,30,51,72
1303,2022-2023,20,8,17,33,55.100000000000136,80
1303,2022-2023,21,8,16,31,53,76
1303,2022-2023,22,8,15.5,29,52,71
1303,2022-2023,23,7,14,27,46,63.049999999999955
1303,2022-2023,24,7,14,26,44,58
1303,2022-2023,25,6,14,25,42,58
1303,2022-2023,26,6,12,23,40.100000000000136,60.049999999999955
1303,2022-2023,27,6,11,22,35,50
1303,2022-2023,28,5,10,19,32.100000000000136,50.049999999999955
1303,2022-2023,29,4,9,17,29,43
1303,2022-2023,30,4,8,15,24,34
1303,2022-2023,31,3,6,12,20,29
1303,2022-2023,32,2,5,10,17,24
1303,2022-2023,33,2,4,9,15.100000000000136,21
1303,2022-2023,34,2,4,7,13,18
1303,2022-2023,35,1,3,7,12,16
1303,2022-2023,36,1,3,6,10.100000000000136,15
1303,2022-2023,37,1,3,6,10,14
1303,2022-2023,38,1,3,5,9,13
1303,2022-2023,39,1,3,5,10,13
1303,2022-2023,40,1,3,5,9,13
1303,2022-2023,41,1,3,5,9,12
1303,2022-2023,42,1,3,5,9,13
1303,2022-2023,43,1,2,5,9,12.049999999999955
1303,2022-2023,44,1,2,5,9,13
1303,2022-2023,45,1,2,5,8,12
1303,2022-2023,46,1,2,5,8,12
1303,2022-2023,47,1,2,5,8,11
1303,2022-2023,48,1,2,4,8,11
1303,2022-2023,49,1,2,4,8,11
1303,2022-2023,50,1,2,4,8,11
1303,2022-2023,51,1,2,4,8,11
1303,2022-2023,52,1,2,4,7,11
1304,2022-2023,1,15,28,53,92,120.09999999999991
1304,2022-2023,2,18,31,54,92,131.04999999999995
1304,2022-2023,3,18,32,56,89,131
1304,2022-2023,4,19,35,62,100,138
1304,2022-2023,5,21,36,63,110.10000000000014,155.04999999999995
1304,2022-2023,6,21,39,69,112,155
1304,2022-2023,7,23,41,73,123,165.0999999999999
1304,2022-2023,8,24,43,77,131,187.04999999999995
1304,2022-2023,9,24,45,79.25,145.20000000000027,204.04999999999995
1304,2022-2023,10,26,48,83,140.10000000000014,194
1304,2022-2023,11,25,48,82,142,195.04999999999995
1304,2022-2023,12,27,50,87,141,217
1304,2022-2023,13,29,53,97,163,217.04999999999995
1304,2022-2023,14,31,55,101,174,242
1304,2022-2023,15,33,57,100,174.10000000000014,232.14999999999986
1304,2022-2023,16,34,64,111.25,190.10000000000014,260
1304,2022-2023,17,36,64,116,196.20000000000027,280.04999999999995
1304,2022-2023,18,38,69,122,211.10000000000014,298.04999999999995
1304,2022-2023,19,39,71,126,208,291
1304,2022-2023,20,41,75,134,225,335
1304,2022-2023,21,43,76,134.25,220.20000000000027,315.04999999999995
1304,2022-2023,22,43,76,136,226.10000000000014,323.04999999999995
1304,2022-2023,23,43,80,135.25,236.10000000000014,334
1304,2022-2023,24,44,78,141,240,327.04999999999995
1304,2022-2023,25,44,78,136,233.20000000000027,326.14999999999986
1304,2022-2023,26,44,78,137.25,236,329
1304,2022-2023,27,41,75,134,226,320.0999999999999
1304,2022-2023,28,40,74,128,230.10000000000014,336.0999999999999
1304,2022-2023,29,39,69,122.25,211,302.04999999999995
1304,2022-2023,30,37,64,115,198,275.0999999999999
1304,2022-2023,31,34,61,111,188.10000000000014,269.04999999999995
1304,2022-2023,32,33,59,104,174,247.04999999999995
1304,2022-2023,33,31,55,95.25,165.10000000000014,238
1304,2022-2023,34,29,51,95,159,222.0999999999999
1304,2022-2023,35,27,49,86,148,209
1304,2022-2023,36,26,46,79,134.10000000000014,189.0999999999999
1304,2022-2023,37,24,41,75,121,167.04999999999995
1304,2022-2023,38,22,37,67,117,166.04999999999995
1304,2022-2023,39,20,36,65,116,157.04999999999995
1304,2022-2023,40,19,35,63,108.10000000000014,150.04999999999995
1304,2022-2023,41,18,33,58,95.10000000000014,128.04999999999995
1304,2022-2023,42,17,30,53,90.10000000000014,135.04999999999995
1304,2022-2023,43,15,27,49,87,119.04999999999995
1304,2022-2023,44,15,27,46,81,117
1304,2022-2023,45,14,25,47,80,110
1304,2022-2023,46,13,25,45,75,107.04999999999995
1304,2022-2023,47,14,25,44,71,102.04999999999995
1304,2022-2023,48,14,26,44,80,115.04999999999995
1304,2022-2023,49,13,24,44,77,110
1304,2022-2023,50,14,25,44,73,107
1304,2022-2023,51,14,26,47,80,114.04999999999995
1304,2022-2023,52,15,28,48,82,114
1401,2022-2023,1,1,3,10,25,46
1401,2022-2023,2,1,3,9,25,47
1401,2022-2023,3,1,3,10,26,49
1401,2022-2023,4,1,3,10,26,42
1401,2022-2023,5,1,3,10,25,47.049999999999955
1401,2022-2023,6,1,3,9,22,40
1401,2022-2023,7,1,3,9,25,46.049999999999955
1401,2022-2023,8,1,3,9,25,44.049999999999955
1401,2022-2023,9,1,3,9,22,40.049999999999955
1401,2022-2023,10,1,3,9,22.100000000000136,38.049999999999955
1401,2022-2023,11,1,3,8,22,37
1401,2022-2023,12,1,3,8,24,41
1401,2022-2023,13,1,2,8,20.100000000000136,41
1401,2022-2023,14,1,3,8,22,39
1401,2022-2023,15,1,3,8,21,37
1401,2022-2023,16,1,3,9,22,41
1401,2022-2023,17,1,2,9,22,41
1401,2022-2023,18,1,3,8,21,38.049999999999955
1401,2022-2023,19,1,2.5,8,20,39.049999999999955
1401,2022-2023,20,1,3,8,20,38
1401,2022-2023,21,1,3,8,21,39
1401,2022-2023,22,1,3,8,21,36.049999999999955
1401,2022-2023,23,1,3,8.25,22,43.049999999999955
1401,2022-2023,24,1,3,9,22,44
1401,2022-2023,25,1,3,8,23.100000000000136,35
1401,2022-2023,26,1,3,8,22,37
1401,2022-2023,27,1,3,9,22.100000000000136,38
1401,2022-2023,28,1,3,9,22,40
1401,2022-2023,29,1,3,8,22,36
1401,2022-2023,30,1,3,8,23,41.049999999999955
1401,2022-2023,31,1,3,9,23,41
1401,2022-2023,32,1,3,9,25,40
1401,2022-2023,33,1,3,9,24,46
1401,2022-2023,34,1,3,10,26,45
1401,2022-2023,35,1,3,9,25,44.049999999999955
1401,2022-2023,36,1,3,9,23,41
1401,2022-2023,37,1,3,9,24.100000000000136,48
1401,2022-2023,38,1,3,9,25,47
1401,2022-2023,39,1,3,9,25,45
1401,2022-2023,40,1,3,10,26,46.09999999999991
1401,2022-2023,41,1,3,10,25,49
1401,2022-2023,42,1,3,10,26,48
1401,2022-2023,43,1,3,10,26,48
1401,2022-2023,44,1,3,10,26.100000000000136,45
1401,2022-2023,45,1,3,10,24,40.049999999999955
1401,2022-2023,46,1,3,10,24,44
1401,2022-2023,47,1,3,10,25,46
1401,2022-2023,48,1,3,10,27,46.049999999999955
1401,2022-2023,49,1,3,10,26,45
1401,2022-2023,50,1,3,10,25,47
1401,2022-2023,51,1,3,11,27,47.049999999999955
1401,2022-2023,52,1,3,10,26,46
1509,2022-2023,1,7,13,25,43,61
1509,2022-2023,2,7,15,28,51,71
1509,2022-2023,3,8,17,31,54.100000000000136,79.04999999999995
1509,2022-2023,4,10,19,35,61,88
1509,2022-2023,5,11,22,41,68.10000000000014,99
1509,2022-2023,6,13,26,47,82,111
1509,2022-2023,7,16,31,56,102.10000000000014,146
1509,2022-2023,8,19,36,65,111,164.04999999999995
1509,2022-2023,9,21,39,69,127,174
1509,2022-2023,10,22,44,79.25,136.20000000000027,210.04999999999995
1509,2022-2023,11,24,44,82,143,212.0999999999999
1509,2022-2023,12,25,49,89,155,214.04999999999995
1509,2022-2023,13,29,55,103,178.10000000000014,252.04999999999995
1509,2022-2023,14,34,64,117,200.20000000000027,298.0999999999999
1509,2022-2023,15,36,74,135.25,251.10000000000014,340.14999999999986
1509,2022-2023,16,43,80,149.25,276,367.0999999999999
1509,2022-2023,17,50,94.5,169,299,457.14999999999986
1509,2022-2023,18,51,95,177,296.10000000000014,426.14999999999986
1509,2022-2023,19,52,95,178,318.3000000000004,500.04999999999995
1509,2022-2023,20,51,95,179,300.10000000000014,442.04999999999995
1509,2022-2023,21,52,100.5,180.25,319.2000000000003,458.04999999999995
1509,2022-2023,22,51,97,182.25,328.10000000000014,468.14999999999986
1509,2022-2023,23,49,89,171,310.10000000000014,447.04999999999995
1509,2022-2023,24,46,86,160.25,282,401.04999999999995
1509,2022-2023,25,44,84,151,278.10000000000014,391.04999999999995
1509,2022-2023,26,42,80,148,251,364.04999999999995
1509,2022-2023,27,40,78,145,247,349.04999999999995
1509,2022-2023,28,39,75,134,237,347.04999999999995
1509,2022-2023,29,37,72,131,227.10000000000014,335.04999999999995
1509,2022-2023,30,36,68,125,208.20000000000027,294.04999999999995
1509,2022-2023,31,32,61,111,192.10000000000014,291.04999999999995
1509,2022-2023,32,29,55,98,172.10000000000014,261.0999999999999
1509,2022-2023,33,25,48,88,146,211.0999999999999
1509,2022-2023,34,21,41,73.25,132,201.04999999999995
1509,2022-2023,35,19,37,67,121.10000000000014,170.04999999999995
1509,2022-2023,36,17,32,57.25,100,140
1509,2022-2023,37,14,26,50,88,126.04999999999995
1509,2022-2023,38,12,23,44,81,110
1509,2022-2023,39,11,21,39,69,92
1509,2022-2023,40,9,19,35,58,87.04999999999995
1509,2022-2023,41,8,17,31,56,80
1509,2022-2023,42,8,16,30,51,75
1509,2022-2023,43,8,15,28,48.100000000000136,70
1509,2022-2023,44,8,15,27,45,70
1509,2022-2023,45,7,14,25,46,64
1509,2022-2023,46,6,13,24,42,60
1509,2022-2023,47,6,12,24,42,58
1509,2022-2023,48,6,12,21,38.100000000000136,55
1509,2022-2023,49,6,12,22,38,54
1509,2022-2023,50,6,11,21,37,50
1509,2022-2023,51,6,11,22,39,54
1509,2022-2023,52,6,12,23,40,53.049999999999955
1510,2022-2023,1,4,8,14,24,32
1510,2022-2023,2,4,7,14,25,35
1510,2022-2023,3,4,8,15,25,34
1510,2022-2023,4,4,8,15,26,39
1510,2022-2023,5,4,9,16,27,36.049999999999955
1510,2022-2023,6,4,9,16,27,39.049999999999955
1510,2022-2023,7,5,9,17,29.100000000000136,41.049999999999955
1510,2022-2023,8,5,10,18,30,42
1510,2022-2023,9,5,11,21,36,48
1510,2022-2023,10,6,12,22,38,50.049999999999955
1510,2022-2023,11,7,13,25,42,58.049999999999955
1510,2022-2023,12,8,16,31,51,69.04999999999995
1510,2022-2023,13,11,22,41,73,96
1510,2022-2023,14,15,30,54,87,119
1510,2022-2023,15,20,39,74.25,123.10000000000014,164.04999999999995
1510,2022-2023,16,26,49,91,150,203.04999999999995
1510,2022-2023,17,28,53,99,171,247
1510,2022-2023,18,30,58.5,110,180,250
1510,2022-2023,19,29,57,106,174,237.04999999999995
1510,2022-2023,20,26,52,95.25,161,221
1510,2022-2023,21,25,48,88,147,200.04999999999995
1510,2022-2023,22,22,42,77,133,178.04999999999995
1510,2022-2023,23,20,38,73,115.10000000000014,157.04999999999995
1510,2022-2023,24,17,34,63,102.10000000000014,149
1510,2022-2023,25,17.75,32,62,105,143.04999999999995
1510,2022-2023,26,16,33,58,97,137.04999999999995
1510,2022-2023,27,16,31,58,91.10000000000014,121
1510,2022-2023,28,14,28.5,54,88,117
1510,2022-2023,29,13,26,48,81,108
1510,2022-2023,30,13,26,45,72,104
1510,2022-2023,31,11,22,39,65.10000000000014,87.04999999999995
1510,2022-2023,32,10,20,37,61,82
1510,2022-2023,33,8,16,29,49.100000000000136,65
1510,2022-2023,34,7,15,27,46,66
1510,2022-2023,35,6,12,23,39,54
1510,2022-2023,36,5,10,20,33,43
1510,2022-2023,37,4,9,17,29,39
1510,2022-2023,38,4,8,15,26,35
1510,2022-2023,39,4,8,14,24,32
1510,2022-2023,40,3,7,13,22,30
1510,2022-2023,41,3,6,12,20,27
1510,2022-2023,42,3,6,12,19,26
1510,2022-2023,43,3,6,11,19,26
1510,2022-2023,44,3,6,11,19,27
1510,2022-2023,45,3,6,10,18,24
1510,2022-2023,46,3,6,11,18,25
1510,2022-2023,47,3,6,11,19,25
1510,2022-2023,48,3,6,12,20,29
1510,2022-2023,49,3,7,13,22,30
1510,2022-2023,50,3,7,13,22,30
1510,2022-2023,51,3.75,7,13,23,30
1510,2022-2023,52,3,7,14,24,33
1511,2022-2023,1,2,5,10,19,28
1511,2022-2023,2,2,5,10,18,26.049999999999955
1511,2022-2023,3,2,5,10,18,25
1511,2022-2023,4,2,5,9.25,18,27
1511,2022-2023,5,2,5,10,18,28
1511,2022-2023,6,2,5,10,17,26
1511,2022-2023,7,2,5,10,17,24
1511,2022-2023,8,2,5,9,18,26
1511,2022-2023,9,2,5,10,17,25
1511,2022-2023,10,2,5,10,17,27
1511,2022-2023,11,2,5,10,17,26
1511,2022-2023,12,2,5,10,19,27
1511,2022-2023,13,3,6,12,21,31
1511,2022-2023,14,3,7,13,23,33.049999999999955
1511,2022-2023,15,4,8,15,28,38
1511,2022-2023,16,4,9,18,32,47
1511,2022-2023,17,5,11,20,38,55
1511,2022-2023,18,6,13,24,45,67
1511,2022-2023,19,7.75,15,28,50,76.04999999999995
1511,2022-2023,20,9,18,34,61,87
1511,2022-2023,21,10,19,35,64,98
1511,2022-2023,22,10,20,38,69,101.04999999999995
1511,2022-2023,23,10,20,39,70,100
1511,2022-2023,24,10,20,37.25,72,105.04999999999995
1511,2022-2023,25,9,19,35,66,99.04999999999995
1511,2022-2023,26,9,18,34,58,89
1511,2022-2023,27,8,17,32,57,81.04999999999995
1511,2022-2023,28,8,16,30,53,75.04999999999995
1511,2022-2023,29,7,14,28,50.100000000000136,77.04999999999995
1511,2022-2023,30,7,13,26,46,73
1511,2022-2023,31,6,12,24,42,63
1511,2022-2023,32,5,11,22,40,59
1511,2022-2023,33,5,10,18,33,52
1511,2022-2023,34,4,9,18,33,47
1511,2022-2023,35,4,8,16,28.100000000000136,42
1511,2022-2023,36,3,7,15,26,38
1511,2022-2023,37,3,7,14,25.100000000000136,39
1511,2022-2023,38,3,7,13.25,24,36
1511,2022-2023,39,3,7,13,22,33
1511,2022-2023,40,3,6,12,22,30
1511,2022-2023,41,3,6,12,21,32
1511,2022-2023,42,3,6,12,22,32
1511,2022-2023,43,3,6,12,23,33.049999999999955
1511,2022-2023,44,3,7,13,23,33
1511,2022-2023,45,3,7,13,23,34
1511,2022-2023,46,3,7,12,23,34
1511,2022-2023,47,3,6,12,23,33
1511,2022-2023,48,3,6,11.25,21,30
1511,2022-2023,49,3,6,11,21,31
1511,2022-2023,50,3,6,11,21,30
1511,2022-2023,51,2,5,11,21,29
1511,2022-2023,52,2,6,11,20,29
1512,2022-2023,1,4,8,14,24,33
1512,2022-2023,2,4,8,15,25,36
1512,2022-2023,3,5,9,16,26,36
1512,2022-2023,4,5,10,17,28,38
1512,2022-2023,5,6,11,20,32,42
1512,2022-2023,6,6,12,21,34,46
1512,2022-2023,7,7,12.5,22,34,48.049999999999955
1512,2022-2023,8,7,13,22,36,52
1512,2022-2023,9,7,13,22.25,35,47.049999999999955
1512,2022-2023,10,7,13,23,37,49.049999999999955
1512,2022-2023,11,7,13,23,38,48.049999999999955
1512,2022-2023,12,7,14,24,40,56
1512,2022-2023,13,8,14,26,44,58
1512,2022-2023,14,8,16,28,45,62.049999999999955
1512,2022-2023,15,10,18,31,51,68.04999999999995
1512,2022-2023,16,11,19,34,55,75
1512,2022-2023,17,11,21,37,59,80.04999999999995
1512,2022-2023,18,11,21,36,60,83
1512,2022-2023,19,12,22.5,39,65,87
1512,2022-2023,20,12,23,40,64,86
1512,2022-2023,21,12,22,37.25,60.100000000000136,79.04999999999995
1512,2022-2023,22,11,20,35,58,79
1512,2022-2023,23,10,19,33,54,71
1512,2022-2023,24,10,17,30,48,62
1512,2022-2023,25,8,15.5,27,43,60
1512,2022-2023,26,8,14,25,41,54
